symbol,date,open,high,low,close,volume
ASTUSDT,2025-03-28,0.0279,0.0291,0.0258,0.0261,4236683.0
SNTUSDT,2025-04-16,0.02206,0.034,0.02121,0.0272,41296807.0
COMBOUSDT,2025-03-28,0.032,0.039,0.0263,0.0276,15562596.8
MAVUSDT,2025-10-22,0.03789,0.0388,0.03698,0.03726,21717572.0
PENDLEUSDT,2025-10-22,3.118,3.156,3.027,3.032,2463565.3
ARKMUSDT,2025-10-22,0.354,0.358,0.34,0.343,18446565.4
WBETHUSDT,2025-10-22,4175.03,4198.95,4075.0,4088.59,706.8807
WLDUSDT,2025-10-22,0.887,0.897,0.842,0.846,35700201.0
FDUSDUSDT,2025-10-22,0.9975,0.9976,0.9973,0.9975,377380417.0
SEIUSDT,2025-10-22,0.1917,0.193,0.1841,0.1846,91163518.7
CYBERUSDT,2025-10-22,1.068,1.075,1.033,1.044,901714.66
ARKUSDT,2025-10-22,0.3217,0.3263,0.3128,0.3131,1493934.0
CREAMUSDT,2025-04-16,1.14,2.25,1.05,2.1,244215.696
GFTUSDT,2024-12-03,0.0029,0.00518,0.0019,0.00196,1906210941.0
IQUSDT,2025-10-22,0.002333,0.002519,0.002303,0.002314,253859777.0
NTRNUSDT,2025-10-22,0.0505,0.0512,0.0487,0.0488,9500148.9
TIAUSDT,2025-10-22,1.002,1.016,0.96,0.965,10927677.24
MEMEUSDT,2025-10-22,0.001638,0.001668,0.001593,0.001599,2201979812.0
ORDIUSDT,2025-10-22,5.109,5.143,4.889,4.978,940553.53
BEAMXUSDT,2025-10-22,0.005096,0.00534,0.004925,0.004954,588584882.0
PIVXUSDT,2025-10-22,0.1683,0.174,0.1648,0.1674,2152839.0
VICUSDT,2025-10-22,0.1523,0.1612,0.1452,0.1455,9628751.66
BLURUSDT,2025-10-22,0.05149,0.05229,0.04992,0.05008,20963903.1
VANRYUSDT,2025-10-22,0.0164,0.0167,0.0159,0.0161,57479406.0
AEURUSDT,2025-10-22,1.0333,1.25,1.0329,1.158,741647.0
JTOUSDT,2025-10-22,1.072,1.096,1.041,1.049,3123714.1
1000SATSUSDT,2025-10-22,2.345e-05,2.393e-05,2.278e-05,2.29e-05,102672824606.0
BONKUSDT,2025-10-22,1.437e-05,1.455e-05,1.388e-05,1.394e-05,1370011788390.0
ACEUSDT,2025-10-22,0.29,0.299,0.285,0.285,1205981.6
NFPUSDT,2025-10-22,0.0405,0.0421,0.0402,0.0404,17054212.0
AIUSDT,2025-10-22,0.0736,0.0764,0.0717,0.073,14139591.0
XAIUSDT,2025-10-22,0.0261,0.0267,0.0254,0.0256,43378729.1
MANTAUSDT,2025-10-22,0.1125,0.1141,0.1092,0.1093,11377471.3
ALTUSDT,2025-10-22,0.01894,0.01924,0.01843,0.01851,76805813.0
JUPUSDT,2025-10-22,0.3489,0.3599,0.3426,0.3447,8772770.4
PYTHUSDT,2025-10-22,0.1109,0.1141,0.1077,0.1092,41004673.8
RONINUSDT,2025-10-22,0.371,0.3753,0.3627,0.3639,2189656.44
DYMUSDT,2025-10-22,0.1098,0.1112,0.106,0.1072,4130992.5
PIXELUSDT,2025-10-22,0.01719,0.01749,0.01667,0.01675,80757437.8
STRKUSDT,2025-10-22,0.1199,0.1207,0.116,0.1164,30647118.98
PORTALUSDT,2025-10-22,0.0264,0.0269,0.0252,0.0253,41222959.6
PDAUSDT,2025-05-02,0.01033,0.0118,0.0085,0.00977,40299406.9
AXLUSDT,2025-10-22,0.1969,0.1994,0.1843,0.1855,10338375.86
WIFUSDT,2025-10-22,0.526,0.533,0.488,0.493,49102103.78
METISUSDT,2025-10-22,9.52,9.76,9.18,9.19,99061.309
AEVOUSDT,2025-10-22,0.0637,0.0648,0.0616,0.0617,29770757.1
BOMEUSDT,2025-10-22,0.001057,0.001065,0.001018,0.001029,2566331390.0
ETHFIUSDT,2025-10-22,1.005,1.027,0.964,0.968,14125525.7
ENAUSDT,2025-10-22,0.4544,0.4755,0.4183,0.4303,214188194.16
WUSDT,2025-10-22,0.0728,0.0743,0.0701,0.0703,51067598.9
TNSRUSDT,2025-10-22,0.0635,0.0643,0.0611,0.0616,12973541.8
SAGAUSDT,2025-10-22,0.1147,0.1156,0.1106,0.1114,17758436.6
TAOUSDT,2025-10-22,382.0,400.8,377.1,383.4,156439.2228
OMNIUSDT,2025-09-29,4.07,4.17,3.82,3.88,287395.14
REZUSDT,2025-10-22,0.01066,0.01092,0.01013,0.01067,300061948.9
BBUSDT,2025-10-22,0.1212,0.125,0.1182,0.119,33670236.1
NOTUSDT,2025-10-22,0.000798,0.000824,0.000791,0.000806,2186058279.0
IOUSDT,2025-10-22,0.333,0.342,0.321,0.322,10003437.56
ZKUSDT,2025-10-22,0.03472,0.035,0.03287,0.03301,116605851.8
LISTAUSDT,2025-10-22,0.2878,0.2921,0.2747,0.2786,7645966.7
ZROUSDT,2025-10-22,1.661,1.744,1.643,1.66,2046149.93
GUSDT,2025-10-22,0.00737,0.00747,0.00724,0.00726,42390979.0
BANANAUSDT,2025-10-22,12.18,12.29,11.67,11.7,105742.63
RENDERUSDT,2025-10-22,2.47,2.509,2.397,2.41,2255419.11
TONUSDT,2025-10-22,2.139,2.159,2.114,2.118,4793624.58
DOGSUSDT,2025-10-22,6.11e-05,6.33e-05,5.53e-05,5.82e-05,110405326046.0
